phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
turn,24.919999999987272,4.9199999999885335,-0.00671952270304508,0.002502105432132097,-0.044788470799925595,0.1835487984238389,0.008957967999315189,8.760880109144427e-05,0.4360475083979147,0.00020040988380294717,0,0,0.6,0
turn,24.95999999998718,4.95999999998844,-0.006722801099351519,0.0025011005260178326,-0.044794091541794534,0.18370106968181663,0.00892778397564336,8.66146700872131e-05,0.43614422176614837,0.00020033942468298285,0,0,0.6,0
turn,24.999999999987086,4.999999999988347,-0.006726034043381568,0.0025000540452034176,-0.044799658096614126,0.18385207248371913,0.00889808746837306,8.56682928908587e-05,0.4362509421748218,0.0002002654294498569,0,0,0.6,0
stop,25.039999999986993,0.03999999999990678,-0.007966270953239448,0.004264072493857392,-0.044809702910679164,0.17238614717555648,0.007512831055952975,0.05618978533558952,0.6565967616211333,0.00035691912938547215,0,0,0,0
stop,25.0799999999869,0.07999999999981355,-0.008205814174086485,0.004967507492725087,-0.04450261697528454,0.15985933690738047,0.008675090846398708,0.010127789697248323,0.5527412542841301,0.0004056637394642613,0,0,0,0
stop,25.119999999986806,0.11999999999972033,-0.008446974323939788,0.004023709680417111,-0.04434078813290493,0.15025152166351805,0.00935922195727879,0.029895160015115756,0.4164519878831066,0.00034495364437156766,0,0,0,0
stop,25.159999999986713,0.1599999999996271,-0.008500873016725412,0.0033099713100062504,-0.04425824015039843,0.1425430514844326,0.010035008784387997,0.011393788105816462,0.4618492321473325,0.00021394008623880885,0,0,0,0
stop,25.19999999998662,0.19999999999953388,-0.008646859903327036,0.0029546835396664665,-0.044214674588143384,0.1364969213373592,0.009866806012772041,0.009409322450668587,0.48364024928398813,0.00027058095564218076,0,0,0,0
stop,25.239999999986527,0.23999999999944066,-0.008918932723378363,0.0028061666545346558,-0.04419464221031475,0.13168905776248524,0.008851010152808118,0.008344662106951012,0.4906261796134887,0.00032171411192884083,0,0,0,0
stop,25.279999999986433,0.27999999999934744,-0.009291172397908479,0.0028571417664687605,-0.04417025354968486,0.1278439931424278,0.007364488383489506,0.011209727110585023,0.4821242281496458,0.0003301152300416208,0,0,0,0
stop,25.31999999998634,0.3199999999992542,-0.009726637867744034,0.0030022812795763403,-0.04413602516670611,0.12486931970523606,0.0058036575689002475,0.012072693245442412,0.4681314537323675,0.0003225750884269189,0,0,0,0
stop,25.359999999986247,0.359999999999161,-0.01013673933897126,0.003109905849343847,-0.04410099586923477,0.12253766758079247,0.0045432617425683235,0.009117030400115425,0.5007667301549218,0.0002835605380977778,0,0,0,0
stop,25.399999999986154,0.39999999999906777,-0.010436980895710348,0.003134251032506073,-0.04406851456434187,0.1206569433478735,0.003783858636713183,0.005730240340307364,0.504838234528075,0.00024685432665774005,0,0,0,0
stop,25.43999999998606,0.43999999999897454,-0.010630890463238478,0.0030742902961562995,-0.044041700772523985,0.11912614383947559,0.0034527793036508094,0.00402822534951486,0.4863200492801596,0.000220962576643305,0,0,0,0
stop,25.479999999985967,0.4799999999988813,-0.01074564656782397,0.002971558199070498,-0.04402071381317551,0.11787799004418131,0.00338425494335846,0.003312967024364996,0.4666532105406505,0.000206672231302252,0,0,0,0
stop,25.519999999985874,0.5199999999987881,-0.010824280012260403,0.00287568407418525,-0.04400368822946944,0.11684867996923098,0.003387440301829291,0.002809411071900363,0.47141483640767595,0.0002021488147208648,0,0,0,0
stop,25.55999999998578,0.5599999999986949,-0.010899832704447901,0.002804257824078873,-0.04399059197761691,0.11598438746151832,0.0033256968350367407,0.002545271654261724,0.47515950302664905,0.00020349438759991283,0,0,0,0
stop,25.599999999985688,0.5999999999986017,-0.010978999427518765,0.0027590283022301595,-0.043979929809887505,0.11521107852966254,0.0031693860770909666,0.0023335536366492792,0.47717396296181763,0.00020353589139990695,0,0,0,0
stop,25.639999999985594,0.6399999999985084,-0.011047952707155004,0.002738907624859324,-0.04397017685504733,0.1144999825990993,0.002971046493697116,0.0017230492230140629,0.4770615071939616,0.00020274943357128224,0,0,0,0
stop,25.6799999999855,0.6799999999984152,-0.011099678172375328,0.0027379381699786866,-0.04396030187360735,0.11383691638304343,0.0027863460509265337,0.001210316572176404,0.4757546519670663,0.00020040205045236982,0,0,0,0
stop,25.719999999985408,0.719999999998322,-0.011134667131193045,0.0027457025942731156,-0.043949786587652674,0.11320100811351673,0.002647409309609074,0.000778537536042424,0.47416499901468306,0.00019633001131922877,0,0,0,0
stop,25.759999999985315,0.7599999999982288,-0.011156841386680348,0.0027566123552396136,-0.04393866149393176,0.11258752603780497,0.002561363286145176,0.0005178099666725396,0.4730220155182097,0.00019191909076277558,0,0,0,0
stop,25.79999999998522,0.7999999999981355,-0.0111701409797589,0.0027675422011202238,-0.043927241426123205,0.11199576924547856,0.002518219701276914,0.00035735394452319005,0.47250083950417027,0.00018849940771826045,0,0,0,0
